rating,title,year
0,The Gate II: Trespassers,1990
5.9,The Boy Who Could Fly,1986
8,The Fly,1986
8,The Fly,1986
4.4,The Fly II,1989
4.5,Running Scared,2006
3,Armed and Dangerous,1986
4.8,The Texas Chainsaw Massacre,2003
4.6,The Texas Chainsaw Massacre 2,1986
3.4,Leatherface: Texas Chainsaw Massacre III,1990
3.2,The Return of the Texas Chainsaw Massacre,1994
6.7,Ruthless People,1986
7.5,Trick 'r Treat,2007
3.7,Deadly Friend,1986
6.2,Belizaire the Cajun,1986
6.2,Der Name der Rose,1986
3.9,Jumpin' Jack Flash,1986
6.8,Peggy Sue Got Married,1986
6.6,Crocodile Dundee,1986
3.6,'Crocodile' Dundee II,1988
4.9,Tough Guys Don't Dance,1987
3,Soul Man,1986
7.3,The Color of Money,1986
5.8,52 Pick-Up,1986
6.7,Heartbreak Ridge,1986
3,Firewalker,1986
5.2,¡Three Amigos!,1986
4.1,Gloria,1999
6.6,Nettoyage à sec,1997
7.3,My Name Is Joe,1998
6.5,Still Crazy,1998
6.7,El día de la bestia,1995
4.9,She's All That,1999
5.8,The 24 Hour Woman,1999
5.4,"Blood, Guts, Bullets and Octane",1998
8.2,Peeping Tom,1960
5.8,Payback,1999
4,Simply Irresistible,1999
4.8,20 Dates,1998
7,Comedian Harmonists,1997
5.9,Last Days,2005
7.1,La planète sauvage,1973
6.1,Blast from the Past,1999
5.2,Message in a Bottle,1999
6.9,"God Said, 'Ha!'",1998
3.3,Jawbreaker,1999
7.6,October Sky,1999
6.8,Office Space,1999
7,Sib,1998
4.5,200 Cigarettes,1999
4.2,8MM,1999
4.7,The Other Sister,1999
4.2,Breakfast of Champions,1999
5,The Break-Up,2006
3.8,Eight Days a Week,1997
4.5,Just the Ticket,1999
8.2,The Long Goodbye,1973
8.2,Narayama-bushi kô,1983
5.2,Pet Sematary,1989
4,Pet Sematary II,1992
2.3,Children of the Corn II: The Final Sacrifice,1992
0,Children of the Corn III: Urban Harvest,1995
5.7,Christine,1983
6.4,Night Shift,1982
4.4,House on Haunted Hill,1999
5.9,Airport,1970
4.8,Airport 1975,1974
0,Airport '77,1977
6,Rollercoaster,1977
6.4,The Towering Inferno,1974
5.5,Albino Alligator,1996
3.6,Meteor,1979
7.1,Westworld,1973
6.2,Logan's Run,1976
7.4,Planet of the Apes,1968
5.3,Beneath the Planet of the Apes,1970
4.7,Battle for the Planet of the Apes,1973
5.5,Conquest of the Planet of the Apes,1972
5.7,Escape from the Planet of the Apes,1971
0,Avalanche Alley,2001
0,10.5,2004
4.3,The Concorde... Airport '79,1979
0,Beyond the Poseidon Adventure,1979
7.9,Dancemaker,1998
6.4,Analyze This,1999
5.3,The Corruptor,1999
5.3,Cruel Intentions,1999
6.8,"Lock, Stock and Two Smoking Barrels",1998
4.8,Six Ways to Sunday,1997
6.1,L'école de la chair,1998
5.9,Relax... It's Just Sex,1998
5.8,The Deep End of the Ocean,1999
0,The Rage: Carrie 2,1999
2.8,Wing Commander,1999
3.7,The Haunting,1999
7.7,Dead Ringers,1988
3.4,My Boyfriend's Back,1993
4,Village of the Damned,1995
5.6,Children of the Damned,1964
1.9,Baby Geniuses,1999
5.6,Telling You,1998
7.7,Seul contre tous,1998
5.3,Forces of Nature,1999
8.2,The King and I,1956
5.5,Ravenous,1999
6,True Crime,1999
6.1,Bandits,2001
6.4,Dangerous Beauty,1998
8.2,The King and I,1956
4.6,Doug's 1st Movie,1999
6.3,Edtv,1999
3,The Mod Squad,1999
5.5,Among Giants,1998
6.7,A Walk on the Moon,1999
7.4,The Matrix,1999
6,10 Things I Hate About You,1999
6.8,Tango,1998
5,The Out-of-Towners,1999
7.6,La vie rêvée des anges,1998
0,"Love, etc.",1996
6.4,Metroland,1997
6.2,The Sticky Fingers of Time,1997
7.1,Following,1998
7.6,Go,1999
5.7,Never Been Kissed,1999
5.1,Shuang long hui,1992
7.5,Cookie's Fortune,1999
9,Foolish Wives,1922
7,Los amantes del Círculo Polar,1998
4.7,Goodbye Lover,1998
7.4,Waking Life,2001
0,Friends & Lovers,1999
5.9,Hideous Kinky,1998
5.8,Jeanne et le garçon formidable,1998
5.8,Il mostro,1994
7.4,Abre los ojos,1997
5.6,SLC Punk!,1998
3.6,Lost & Found,1999
5.6,Pushing Tin,1999
7.8,Election,1999
6.7,eXistenZ,1999
0,A Little Bit of Soul,1998
0,Xing xing wang,1977
6.7,Revolutionary Road,2008
0,Let It Come Down: The Life of Paul Bowles,1998
5.2,Entrapment,1999
3.4,Idle Hands,1999
6.4,Get Real,1998
7.4,Bian Lian,1996
6.7,Three Seasons,1999
7.9,The Winslow Boy,1999
7.6,Mildred Pierce,1945
6.5,Night of the Comet,1984
4.4,Chopping Mall,1986
3.2,My Science Project,1985
5.7,Dick Tracy,1990
5.7,The Mummy,1999
6.9,The Castle,1997
0,Mascara,1987
6.7,This Is My Father,1998
8,Tian yu,1998
0,A Midsummer Night's Dream,1999
4.2,Trippin',1999
6.9,Wandâfuru raifu,1998
4.9,Hak hap,1996
0,Edge of Seventeen,1998
7.7,The Endurance: Shackleton's Legendary Antarctic Expedition,2000
0,Star Wars: Episode I - The Phantom Menace,1999
0,The Love Letter,1999
7,Besieged,1998
4.4,Frogs for Snakes,1998
7.3,Rekopis znaleziony w Saragossie,1965
5.7,The Mummy,1999
5.7,The Mummy,1999
6.2,The Mummy's Curse,1944
0,The Mummy's Ghost,1944
6.1,The Mummy's Hand,1940
3.7,The Mummy: Tomb of the Dragon Emperor,2008
5.6,Mommie Dearest,1981
8,Superman,1978
7.4,Superman II,1980
4.4,Superman III,1983
2.8,Superman IV: The Quest for Peace,1987
7.7,Dracula,1931
5.7,House of Dracula,1945
5.6,House of Frankenstein,1944
8.5,Frankenstein,1931
7.3,Son of Frankenstein,1939
6.3,The Ghost of Frankenstein,1942
5.2,Frankenstein Meets the Wolf Man,1943
7.6,The Curse of Frankenstein,1957
7.7,The Wolf Man,1941
3.1,Howling II: Stirba - Werewolf Bitch,1985
6.3,Tarantula,1955
6.5,The Rocky Horror Picture Show,1975
0,It Came from Hollywood,1982
7.7,The Thing from Another World,1951
6.8,It Came from Outer Space,1953
7,War of the Worlds,2005
6,It Came from Beneath the Sea,1955
8.9,Invasion of the Body Snatchers,1956
5.7,Earth vs. the Flying Saucers,1956
5.6,It Conquered the World,1956
0,The Mole People,1956
5.8,Swamp Thing,1982
0,Pork Chop Hill,1959
7,Run Silent Run Deep,1958
7.1,Notting Hill,1999
4.5,The Thirteenth Floor,1999
7.2,Mia aioniotita kai mia mera,1998
4.8,The Loss of Sexual Innocence,1999
4.8,The Man with Rain in His Shoes,1998
4.3,Instinct,1999
7.5,Buena Vista Social Club,1999
5.1,Desert Blue,1998
4.7,Finding North,1998
7,Limbo,1999
6,Austin Powers: The Spy Who Shagged Me,1999
7.1,Le violon rouge,1998
7.6,Tarzan,1999
4.3,The General's Daughter,1999
0,Get Smart's Bruce and Lloyd Out of Control,2008
7.4,An Ideal Husband,1999
6.2,La leggenda del pianista sull'oceano,1998
7.7,Lola rennt,1998
7.3,Trekkies,1997
0,Big Daddy,1999
6.3,The Lost Boys,1987
6.8,Le dîner de cons,1998
6.9,My Son the Fanatic,1997
6.6,Arachnophobia,1990
7,South Park: Bigger Longer & Uncut,1999
3.9,Wild Wild West,1999
0,Summer of Sam,1999
5.7,Broken Vessels,1998
7.1,Les amants du Pont-Neuf,1991
6.7,"Fin août, début septembre",1998
5.7,American Pie,1999
6.1,Arlington Road,1999
7.8,Conte d'automne,1998
6.2,Muppets from Space,1999
7.5,The Blair Witch Project,1999
6.3,My Life So Far,1999
7.3,Eyes Wide Shut,1999
5,Lake Placid,1999
6,The Wood,1999
4.1,The Velocity of Gary* *(Not His Real Name),1998
7.6,Ghost Busters,1984
5.2,Ghostbusters II,1989
3.7,The Haunting,1999
4,Inspector Gadget,1999
6.8,Trick,1999
5.7,Deep Blue Sea,1999
5.7,Mystery Men,1999
5.3,Runaway Bride,1999
7.3,Twin Falls Idaho,1999
8.3,The Killing,1956
6.8,Killer's Kiss,1955
8.1,Spartacus,1960
8,Lolita,1962
7.8,Barry Lyndon,1975
9.3,Les quatre cents coups,1959
8.9,Jules et Jim,1962
2.8,Vibes,1988
6.4,The Mosquito Coast,1986
3.9,The Golden Child,1986
5.7,Brighton Beach Memoirs,1986
7.1,The Assassination of Jesse James by the Coward Robert Ford,2007
7.6,Crimes of the Heart,1986
6.7,The Color Purple,1985
3.4,No Mercy,1986
0,Tenue de soirée,1986
6,Native Son,1986
6.4,The Mission,1986
6.2,The Little Shop of Horrors,1960
6.2,The Little Shop of Horrors,1960
0,Allan Quatermain and the Lost City of Gold,1986
5.8,The Morning After,1986
7.9,Radio Days,1987
4.7,From the Hip,1987
5,Outrageous Fortune,1987
6,The Bedroom Window,1987
0,Deadtime Stories,1986
5.2,Light of Day,1987
4.1,Wanted: Dead or Alive,1986
7.6,Frances,1982
7.3,Plenty,1985
6.3,Dick,1999
8,The Iron Giant,1999
7.4,The Sixth Sense,1999
6.4,The Thomas Crown Affair,1999
6.4,The Thomas Crown Affair,1999
5.8,The Acid House,1998
5.7,The Adventures of Sebastian Cole,1998
5.6,Illuminata,1998
4.8,Stiff Upper Lips,1998
2.8,The Whole Ten Yards,2004
7.1,Bowfinger,1999
4.7,Brokedown Palace,1999
5.4,Detroit Rock City,1999
6.3,Alice et Martin,1998
5.8,Better Than Chocolate,1999
0,Gegen die Wand,2004
7.8,"Marcello Mastroianni: mi ricordo, sì, io mi ricordo",1997
2.5,Cobra,1986
3.6,Never Talk to Strangers,1995
7.8,Heaven Can Wait,1943
6.4,The Raven,1963
5.9,The Tingler,1959
6.4,Pit and the Pendulum,1961
6.4,The Tomb of Ligeia,1964
5.9,The Masque of the Red Death,1964
6.1,Tales of Terror,1962
3.5,Haunted Honeymoon,1986
5.5,Cat's Eye,1985
6.9,And Now for Something Completely Different,1971
0,Damien: Omen II,1978
8.3,Airplane!,1980
5.2,Airplane II: The Sequel,1982
3.7,An American Werewolf in Paris,1997
4.8,European Vacation,1985
7.3,Vacation,1983
5.2,Funny Farm,1988
7.9,Big,1988
2.6,Problem Child 2,1991
2.6,Problem Child 2,1991
0,Little Nemo: Adventures in Slumberland,1989
6.6,Oscar and Lucinda,1997
5.1,Tequila Sunrise,1988
5.5,The Pelican Brief,1993
8.3,A Christmas Story,1983
5.4,Mickey Blue Eyes,1999
4,Teaching Mrs. Tingle,1999
2.8,Universal Soldier: The Return,1999
4.2,Universal Soldier,1992
3.5,Love Stinks,1999
6.4,Perfect Blue,1998
5.4,With Friends Like These...,1998
4.9,In Too Deep,1999
0,The Source,1999
0,The Vampire Bat,1933
3.6,Iron Eagle,1986
0,Iron Eagle II,1988
2.2,Aces: Iron Eagle III,1992
0,Iron Eagle IV,1995
7,Three Days of the Condor,1975
8.2,Hamlet,1996
0,Male and Female,1919
3.9,Medicine Man,1992
0,"Die Spinnen, 1. Teil - Der Goldene See",1919
7.6,On the Ropes,1999
0,Ring Around the Rosie,2006
4.6,The 13th Warrior,1999
4.2,The Astronaut's Wife,1999
5.9,The Muse,1999
7.8,Bure baruta,1998
4.5,A Dog of Flanders,1999
0,The Lost Son,1999
7,Lucie Aubrac,1997
5.1,"Martha - Meet Frank, Daniel and Laurence",1998
3.3,Chill Factor,1999
5.6,Outside Providence,1999
6.3,Bedrooms and Hallways,1998
7.2,West Beyrouth (À l'abri les enfants),1998
4,Stigmata,1999
6.4,Stir of Echoes,1999
5.8,Best Laid Plans,1999
6.9,"Crna macka, beli macor",1998
5.9,The Minus Man,1999
4,Whiteboyz,1999
6.6,Koneko monogatari,1986
8.4,Only Angels Have Wings,1939
6.3,Othello,1995
5.2,Queens Logic,1991
6.8,Wayne's World,1992
3.8,Saturn 3,1980
7.2,A Soldier's Story,1984
0,Communion,1976
0,The Forgotten,1973
8.1,The Power of Nightmares: The Rise of the Politics of Fear,2004
0,I Saw What You Did,1965
7.6,Yellow Submarine,1968
8,American Beauty,1999
8.8,Stop Making Sense,1984
4.8,Blue Streak,1999
6.3,For Love of the Game,1999
2.9,Caligola,1979
8.2,A Hard Day's Night,1964
8.3,American Splendor,2003
6.2,Sugar Town,1999
7.3,The Buddy Holly Story,1978
7.3,Fright Night,1985
4.7,Fright Night Part 2,1988
6.4,Barefoot in the Park,1967
8.5,Deliverance,1972
7.3,Excalibur,1981
3.6,Lulu on the Bridge,1998
7.4,The Pajama Game,1957
5.9,Sommersby,1993
5.2,Thumbelina,1994
7.1,Tommy,1975
4.5,Hell Night,1981
6.4,Fei ying gai wak,1991
6.6,Long xiong hu di,1987
4.4,Double Jeopardy,1999
4.7,Jakob the Liar,1999
5.9,Mumford,1999
4.5,Dog Park,1998
6.8,Guinevere,1999
6.7,The Adventures of Elmo in Grouchland,1999
1.9,Simon Sez,1999
4.9,"Mystery, Alaska",1999
7.8,Three Kings,1999
6.7,"Happy, Texas",1999
4.2,New Rose Hotel,1998
4.7,Plunkett & Macleane,1999
5.1,Romance,1999
0,Napoleon and Samantha,1972
0,Alvarez Kelly,1966
6.8,E la nave va,1983
5.8,The Dark Half,1993
6.6,Gulliver's Travels,1939
5.4,Monkey Shines,1988
6.2,Phantasm,1979
3.1,American Psycho II: All American Girl,2002
5.2,Psycho III,1986
9.2,Singin' in the Rain,1952
8.3,Tsubaki Sanjûrô,1962
4,Random Hearts,1999
4.5,Superstar,1999
7.9,Boys Don't Cry,1999
5.5,L'ennui,1998
7.4,The Limey,1999
4.3,The Mating Habits of the Earthbound Human,1999
2.9,The Haunting of Molly Hartley,2008
7.4,Risky Business,1983
7.2,Total Recall,1990
8,Body Heat,1981
7.4,Ferris Bueller's Day Off,1986
7.4,The Year of Living Dangerously,1982
9,Les enfants du paradis,1945
7.7,High Plains Drifter,1973
6.5,Hang 'Em High,1968
0,Handle with Care,1977
7,Jui kuen II,1994
8.8,Il conformista,1970
7.7,Hairspray,2007
8.1,Brief Encounter,1945
5.4,The Razor's Edge,1984
8.5,Trois couleurs: Rouge,1994
7.1,Dom za vesanje,1988
7.9,Days of Heaven,1978
7.7,Le feu follet,1963
0,El amor brujo,1986
8.6,The Lady Eve,1941
8.7,Sullivan's Travels,1941
8.6,The Palm Beach Story,1942
0,Hombre mirando al sudeste,1986
6.2,Niagara,1953
7.7,Gilda,1946
6.7,South Pacific,1958
4.7,Flashdance,1983
6.3,Indochine,1992
7.9,The Dirty Dozen,1967
0,Mike's Murder,1984
7.3,Help!,1965
8.4,Goldfinger,1964
7.9,From Russia with Love,1963
7.6,Dr. No,1962
2.7,The Blue Lagoon,1980
8.1,Per un pugno di dollari,1964
6.9,Sydney,1996
3.6,Home Alone 2: Lost in New York,1992
0,Penitentiary,1979
0,Penitentiary II,1982
6.2,Someone to Watch Over Me,1987
0,Naturally Native,1998
7.3,Fight Club,1999
5.4,Beefcake,1998
4.5,The Story of Us,1999
6.2,Fever Pitch,2005
6,Joe the King,1999
4.6,Julien Donkey-Boy,1999
3,The Omega Code,1999
8.1,The Straight Story,1999
7.6,The Bad Seed,1956
8,Time Bandits,1981
6.3,Un homme et une femme,1966
7.6,Fitzcarraldo,1982
7.4,All That Jazz,1979
7.6,Hong gao liang,1987
7.9,Crimes and Misdemeanors,1989
0,The Vampire Bat,1933
0,The Best Man,2005
6.7,Bringing Out the Dead,1999
4.5,Crazy in Alabama,1999
4.3,Three to Tango,1999
4,Body Shots,1999
0,Brother Can You Spare a Dime,1975
5.2,The Guardian,2006
7.7,The Ipcress File,1965
0,On Any Sunday,1971
7.7,RoboCop,1987
4.5,RoboCop 2,1990
8.3,Who Framed Roger Rabbit,1988
8.2,Melvin and Howard,1980
6.2,For Your Eyes Only,1981
5.8,Licence to Kill,1989
5.9,Live and Let Die,1973
4.4,Rawhead Rex,1986
7,Thunderball,1965
9,City Lights,1931
4.4,House on Haunted Hill,1999
6.6,Music of the Heart,1999
8,Being John Malkovich,1999
4.8,Dreaming of Joseph Lees,1999
6.6,Man of the Century,1999
7.7,Mononoke-hime,1997
3,The Suburbans,1999
7,Mein liebster Feind - Klaus Kinski,1999
6.4,Train de vie,1998
3.5,The Bachelor,1999
4.7,The Bone Collector,1999
7.3,Inside Man,2006
8.3,American Movie,1999
7.2,Last Night,1998
7.2,Rosetta,1999
7.3,"They Shoot Horses, Don't They?",1969
6,Battling Butler,1926
5.2,Bride of Re-Animator,1990
0,Bustin' Loose,1981
6.6,Coma,1978
6,Creepshow,1982
3.7,Creepshow 2,1987
7.7,Re-Animator,1985
8,Drugstore Cowboy,1989
6.6,Falling Down,1993
5.6,The Funhouse,1981
8.9,The General,1926
6.4,Piranha,1978
0,Rough Night in Jericho,1967
7.4,Slaughterhouse-Five,1972
7.4,Slaughterhouse-Five,1972
0,The Taming of the Shrew,1967
6.2,Nighthawks,1981
8.8,Yôjinbô,1961
4.5,Repo! The Genetic Opera,2008
5.6,The Omega Man,1971
6.3,Spaceballs,1987
5.2,Robin Hood: Prince of Thieves,1991
7.5,Mister Roberts,1955
7,La guerre du feu,1981
7.9,Little Big Man,1970
7.8,A Face in the Crowd,1957
7.2,Trading Places,1983
6.2,Meatballs,1979
0,Meatballs Part II,1984
0,Meatballs III: Summer Job,1986
0,Meatballs 4,1992
7.3,Dead Again,1991
6.3,Peter's Friends,1992
6.5,The Incredibly True Adventure of Two Girls in Love,1995
0,Under the Rainbow,1981
5.7,How I Won the War,1967
4.9,Light It Up,1999
6.4,Anywhere But Here,1999
6.3,Dogma,1999
4.5,Joan of Arc,1999
3.6,Pokémon: The First Movie,1999
7.4,Felicia's Journey,1999
6.5,Oxygen,1999
4.4,Where's Marlowe?,1998
7.4,Planet of the Apes,1968
7.5,The Commitments,1991
7.1,Holiday Inn,1942
7.5,The Longest Day,1962
5,Poison Ivy,1992
0,Poison Ivy: The New Seduction,1997
5.1,Nothing to Lose,1997
6.3,Tora! Tora! Tora!,1970
7.6,Mujeres al borde de un ataque de nervios,1988
7.8,The Verdict,1982
0,The Effect of Gamma Rays on Man-in-the-Moon Marigolds,1972
6.4,The Adventures of Buckaroo Banzai Across the 8th Dimension,1984
6,Stand and Deliver,1988
7.7,Moonstruck,1987
0,The Sandpiper,1965
7.1,Jeremiah Johnson,1972
8.8,Repulsion,1965
7.4,Irma la Douce,1963
7.8,42: Forty Two Up,1998
7.3,Liberty Heights,1999
6.9,Mansfield Park,1999
6.3,Sleepy Hollow,1999
0,The World Is Not Enough,1999
8,Todo sobre mi madre,1999
0,La morte vivante,1982
8.4,Babes in Toyland,1934
5.8,Scrooged,1988
6.2,Last Chance Harvey,2008
8.8,Ladri di biciclette,1948
8.3,Matewan,1987
7.5,Kagemusha,1980
0,Chûshingura,1962
8.4,McCabe & Mrs. Miller,1971
7,Maurice,1987
8.9,The Grapes of Wrath,1940
8.4,My Man Godfrey,1936
8.4,The Shop Around the Corner,1940
7,The Natural,1984
6.1,Shampoo,1975
6.8,A River Runs Through It,1992
6.8,Fatal Attraction,1987
6.7,Jagged Edge,1985
4,Stanley & Iris,1989
7.7,Midnight Run,1988
6.7,Awakenings,1990
5.5,Come See the Paradise,1990
6,Backdraft,1991
7,The Fisher King,1991
7.3,Frozen River,2008
6.7,North Country,2005
8,Places in the Heart,1984
0,"'night, Mother",1986
3.7,End of Days,1999
9,Toy Story,1995
5.7,Flawless,2007
5.6,Miss Julie,1999
6.2,Ride with the Devil,1999
7,Tumbleweeds,1999
7.5,Reazione a catena,1971
4,The Distinguished Gentleman,1992
7.6,The Hitch-Hiker,1953
0,Santa Fe Trail,1940
5.3,Agnes Browne,1999
6.6,The End of the Affair,1999
6.6,The End of the Affair,1999
5.6,Holy Smoke,1999
6.4,A Map of the World,1999
6.8,Sweet and Lowdown,1999
3.8,The Bonfire of the Vanities,1990
3.5,Broadway Damage,1997
0,Daddy Long Legs,1955
6.5,Go West,1940
9.2,La grande illusion,1937
7.8,The Great Santini,1979
0,The James Dean Story,1957
3.4,Stealing Home,1988
0,Tarzan the Fearless,1933
7.4,Three Ages,1923
5.4,The Two Jakes,1990
5.7,U2: Rattle and Hum,1988
6.8,Hell in the Pacific,1968
5.6,The Glass Bottom Boat,1966
6.2,Cradle Will Rock,1999
4,Deuce Bigalow: Male Gigolo,1999
6.8,The Green Mile,1999
6.6,The Cider House Rules,1999
4,Diamonds,1999
4.2,Punisher: War Zone,2008
0,The Bat Whispers,1930
8.6,The Last Picture Show,1971
7.5,The 7th Voyage of Sinbad,1958
0,Blood on the Sun,1945
5.9,Anna and the King,1999
4.8,Bicentennial Man,1999
6.9,Stuart Little 2,2002
7.4,Jing Ke ci Qin Wang,1998
7,Fantasia/2000,1999
7.5,Magnolia,1999
5.5,Onegin,1999
4.6,Simpatico,1999
7.8,Topsy-Turvy,1999
6.8,3-4 x jûgatsu,1990
0,Brenda Starr,1989
7.7,Carnal Knowledge,1971
7.9,Easy Rider,1969
7.3,The Falcon and the Snowman,1985
8.3,Room at the Top,1959
0,Ulisse,1954
5.5,Any Given Sunday,1999
6.2,Man on the Moon,1999
7.2,Galaxy Quest,1999
7.3,The Talented Mr. Ripley,1999
3.9,Next Friday,2000
0,The Hurricane,1937
5.7,Angela's Ashes,1999
4,Play It to the Bone,1999
6.5,Titus,1999
8.4,"Mr. Death: The Rise and Fall of Fred A. Leuchter, Jr.",1999
6.2,The Third Miracle,1999
7.5,Scarface,1983
5.2,Snow Falling on Cedars,1999
5.7,"Girl, Interrupted",1999
7.4,The Life and Times of Hank Greenberg,1998
6.7,My Dog Skip,2000
3.2,Supernova,2000
4.5,The Quarry,1998
8.3,Heavenly Creatures,1994
6,The Way We Were,1973
0,Tess of the Storm Country,1922
8.3,Stalag 17,1953
4.8,The Presidio,1988
7.7,Papillon,1973
6.5,Pal Joey,1957
7.8,The Last Detail,1973
8.2,Five Easy Pieces,1970
7.9,Auch Zwerge haben klein angefangen,1970
7.5,Dead Calm,1989
6.2,The Boys from Brazil,1978
7.2,La maschera del demonio,1960
5.6,Against All Odds,1984
0,The Snows of Kilimanjaro,1952
3.5,Loaded Weapon 1,1993
0,The Loves of Carmen,1948
6.7,Fast Times at Ridgemont High,1982
6.8,Evil Angels,1988
6.9,Batman: Mask of the Phantasm,1993
5.5,American Flyers,1985
5.2,Voyage of the Damned,1976
5.6,Vampiros lesbos,1971
7.3,A Star Is Born,1937
7,Poison,1991
5.2,Pacific Heights,1990
0,Night Tide,1961
8,The Draughtsman's Contract,1982
7.4,U-Carmen e-Khayelitsha,2005
6.7,A Zed & Two Noughts,1985
8.7,Suna no onna,1964
3.2,Down to You,2000
0,Hellhounds on My Trail: The Afterlife of Robert Johnson,2000
5.7,The Odessa File,1974
0,The Saphead,1920
8.8,Seven Chances,1925
4.7,Where the Buffalo Roam,1980
6.6,Falkens öga,1998
3.4,Eye of the Beholder,1999
4,Isn't She Great,2000
5.7,The Big Tease,1999
6.9,Phörpa,1999
6.3,Santitos,1999
3.1,Encino Man,1992
6.5,The Goodbye Girl,1977
8.6,Soy Cuba,1964
7.4,Malcolm X,1992
5.6,Sister Act,1992
3,Sister Act 2: Back in the Habit,1993
5.6,The Hand That Rocks the Cradle,1992
6.4,Alive,1993
5.5,Agnes of God,1985
7.2,Scent of a Woman,1992
6.8,Wayne's World,1992
5.8,Wayne's World 2,1993
0,A League of Their Own,1992
6,Patriot Games,1992
4.8,The Bodyguard,1992
0,Death Becomes Her,1992
5.2,Far and Away,1992
8.2,Howards End,1992
6.9,Singles,1992
6.2,Twin Peaks: Fire Walk with Me,1992
6.3,White Men Can't Jump,1992
4.1,Buffy the Vampire Slayer,1992
7.3,C'est arrivé près de chez vous,1992
7,El mariachi,1992
2.5,Stop! Or My Mom Will Shoot,1992
5.3,Forever Young,1992
6.1,The Cutting Edge,1992
7.9,Of Mice and Men,1992
6.9,Bad Lieutenant,1992
5.2,Scream 3,2000
5.3,Single White Female,1992
4,The Boondock Saints,1999
4.5,Gun Shy,2000
0,Gendernauts - Eine Reise durch die Geschlechter,1999
7.7,Gone Baby Gone,2007
6.2,The Brandon Teena Story,1998
5.9,Different for Girls,1996
7.3,Minnie and Moskowitz,1971
7.1,They Might Be Giants,1971
4.4,The Beach,2000
4.2,Snow Day,2000
5.9,The Tigger Movie,2000
7.6,Yi ge dou bu neng shao,1999
7,The Big Combo,1955
6.6,Conceiving Ada,1997
4.4,Eaten Alive,1977
8,Raining Stones,1993
7.1,"To Sir, with Love",1967
6.4,Boiler Room,2000
5.6,Pitch Black,2000
5.2,The Whole Nine Yards,2000
6.7,Beautiful People,1999
0,Black Tar Heroin: The Dark End of the Street,2000
6.8,Blue Collar Comedy Tour: The Movie,2003
7.6,Bluebeard,1944
9,City Lights,1931
6.8,The Flamingo Kid,1984
0,A Dog's Life,1918
6.9,The Karate Kid,1984
7.6,The Man from Laramie,1955
2.4,Class Reunion,1982
0,The Big Trees,1952
0,Happy Go Lovely,1951
4.2,Reindeer Games,2000
7.2,Wonder Boys,2000
5.3,Deterrence,1999
7.1,Judy Berlin,1999
6.7,Mifunes sidste sang,1999
2.3,3 Strikes,2000
0,Chain of Fools,2000
4.4,Drowning Mona,2000
3.6,The Next Best Thing,2000
5,What Planet Are You From?,2000
6.7,Beyond the Mat,1999
7,Ghost Dog: The Way of the Samurai,1999
7.1,The Year My Voice Broke,1987
7.2,Splendor in the Grass,1961
0,My Tutor,1983
0,The Legend of Lobo,1962
6.5,The Killing of Sister George,1968
8.1,Key Largo,1948
4.3,Jailbait,2004
6.9,It Happened Here,1965
0,I'll Never Forget What's'isname,1967
8.1,For All Mankind,1989
6.3,Cross of Iron,1977
3.8,Bride of the Monster,1955
8.1,Born Yesterday,1950
7.4,Birdy,1984
6.2,Et Dieu... créa la femme,1956
4.2,Blood Feast,1963
0,"Charlie, the Lonesome Cougar",1967
7.7,Never Cry Wolf,1983
0,The Night Visitor,1971
0,The Perils of Pauline,1947
8.1,A Raisin in the Sun,1961
4.5,Two Thousand Maniacs!,1964
6,Brown's Requiem,1998
5.4,The Closer You Get,2000
0,Mission to Mars,2000
4.9,The Ninth Gate,1999
6.6,Est - Ouest,1999
7.6,Defending Your Life,1991
8.2,Breaking Away,1979
7.4,Hoosiers,1986
7.9,Bull Durham,1988
8.5,Dog Day Afternoon,1975
8.3,American Graffiti,1973
8.4,The Asphalt Jungle,1950
8.8,The Searchers,1956
0,The Devil's Brigade,1968
6.8,The Big Country,1958
0,Mélodie en sous-sol,1963
7.6,The Betrayal - Nerakhoon,2008
7.3,Bound for Glory,1976
0,The Bridge at Remagen,1969
0,Buck and the Preacher,1972
7.2,Daughters of the Dust,1991
4.7,Destination Moon,1950
0,Hangmen Also Die!,1943
7,Der Unhold,1996
4.4,The Beach,2000
0,Railroaded!,1947
8.2,The Taking of Pelham One Two Three,1974
4.6,Volunteers,1985
7.5,JFK,1991
3.6,Who's Harry Crumb?,1989
4.8,Harry and the Hendersons,1987
0,Let's Get Harry,1986
2.3,Shanghai Surprise,1986
3.2,Who's That Girl,1987
4.5,She-Devil,1989
3.4,Date with an Angel,1987
4.1,Blind Date,1987
5,Nadine,1987
7.8,The Muppet Movie,1979
6,The Great Muppet Caper,1981
6.7,The Muppets Take Manhattan,1984
6.1,Sesame Street Presents: Follow that Bird,1985
4,We're Back! A Dinosaur's Story,1993
3.5,Baby: Secret of the Lost Legend,1985
7.7,Turtle Diary,1985
5.2,Raise the Titanic,1980
7.4,Titanic,1997
8.7,A Night to Remember,1958
7.3,Captain Horatio Hornblower R.N.,1951
7.4,Les convoyeurs attendent,1999
7.3,Erin Brockovich,2000
4.6,Final Destination,2000
6.2,Soft Fruit,1999
7.2,L'ours,1988
5.7,Deep Impact,1998
9.2,Zerkalo,1975
7.8,The Crimson Pirate,1952
7.9,Thelma & Louise,1991
0,Something for Everyone,1970
